Codigo de Barras;Nome do Produto;Status;Preço Final (consumidor);Qtd.Estoque;Data de vencimento
7898230716630;CERVEJA BADEN BADEN WITBIER;Desbloqueado;R$ 5,19;0;Não Informado
7898215151760;LEITE SEMIDESN. PIRACANJUBA 1LT;Desbloqueado;R$ 6,29;0;Não Informado
4005900521972;SABONETE NIVEA 85G;Desbloqueado;R$ 3,99;0;Não Informado
7896074605318;LASANHA FORNO MINAS 600G;Desbloqueado;R$ 14,99;0;Não Informado
7894900010398;COCA COLA 220ML;Desbloqueado;R$ 3,59;0;Não Informado
7892840234447;CEBOLITOS 90G;Desbloqueado;R$ 13,49;0;Não Informado
7000000373794;TEKITOS QUEIJO;Desbloqueado;R$ 11,99;0;Não Informado
7896045506590;HEINEKEN LATA 250ML;Desbloqueado;R$ 3,89;0;Não Informado
Não Informado;VINHO RESERVADO CABERNET SAUVIGNON;Desbloqueado;R$ 34,99;0;Não Informado
7896005801512;CAFE CORAÇOES EXTRAFORTE 250G;Desbloqueado;R$ 24,99;0;Não Informado
7891000109298;PASSATEMPO COOKIES ORIGINAL 60G;Desbloqueado;R$ 4,29;0;Não Informado
7896058257656;BOLACHA TRIUNFO CHOCOLATE 90G;Desbloqueado;R$ 2,59;0;Não Informado
7898919411900;DESODORANTE FEMININO MONANGE INVISIVEL;Desbloqueado;R$ 12,99;0;Não Informado
7891350037907;DESODORANTE MASCULINO BOZANO POWER PROTECTION;Desbloqueado;R$ 12,99;0;Não Informado
7891037744509;PASTA DE DENTE CLOSEUP LIQUIFRESH ICE 100G;Desbloqueado;R$ 7,99;0;Não Informado
07891149107797;CERVEJA BRAHMA LATA 350ML;Desbloqueado;R$ 3,99;0;Não Informado
00619205325537;PAO DE QUEIJO FORNO DE MINAS 400G;Desbloqueado;R$ 10,19;0;Não Informado
7091055803509;ESCOVA DE DENTES;Desbloqueado;R$ 7,99;3;Não Informado
789609890744;LAVA ROUPA PO TIXAN;Desbloqueado;R$ 16,99;2;Não Informado
7893218003610;SMIRNOFF RED ICE;Desbloqueado;R$ 9,89;0;Não Informado
7897395099299;CERVEJA PETRA 269ML;Desbloqueado;R$ 1,99;0;Não Informado
7622210592668;BOLACHA TRAKINAS SABORES;Desbloqueado;R$ 3,99;7;Não Informado
7891107101621;OLEO SOJA SOYA 900ML;Desbloqueado;R$ 9,20;0;Não Informado
7891000241370;PASSATEMPO (sABORES);Desbloqueado;R$ 3,89;0;Não Informado
7898701300092;BATATA PALHA CASA MAE FINA;Desbloqueado;R$ 9,99;0;Não Informado
